FileName,FileTime,Integration time,Analog gain,Digital gain,AE Mean,AEConverged
A38E3860.JPG,2026-06-22 07:25:58,376,4,192,2,N
A38E6E40.JPG,2026-06-22 07:40:20,376,4,192,2,N
A38EA420.JPG,2026-06-22 07:54:42,376,4,192,2,N
A38EDA00.JPG,2026-06-22 08:09:04,376,4,192,2,N
A38F0FD0.JPG,2026-06-22 08:23:25,376,4,192,2,N
A38F45B0.JPG,2026-06-22 08:37:47,376,4,129,81,Y
A38F7B90.JPG,2026-06-22 08:52:09,376,4,192,18,N
A38FB160.JPG,2026-06-22 09:06:30,376,4,192,18,N
A38FE740.JPG,2026-06-22 09:20:52,376,4,192,17,N
A3901D10.JPG,2026-06-22 09:35:13,376,4,192,20,N
A39052E0.JPG,2026-06-22 09:49:34,376,4,192,21,N
A39088C0.JPG,2026-06-22 10:03:56,376,4,192,12,N
A390BE90.JPG,2026-06-22 10:18:17,376,4,192,12,N
A390F470.JPG,2026-06-22 10:32:39,376,4,192,11,N
A3912A40.JPG,2026-06-22 10:47:00,376,4,192,11,N
A3916020.JPG,2026-06-22 11:01:22,376,4,192,9,N
A39195F0.JPG,2026-06-22 11:15:43,376,4,192,3,N
A391CBC0.JPG,2026-06-22 11:30:04,376,4,192,2,N
A39201A0.JPG,2026-06-22 11:44:26,376,4,192,2,N
A3923770.JPG,2026-06-22 11:58:47,376,4,192,2,N
A3926D40.JPG,2026-06-22 12:13:08,376,4,192,2,N
A392A300.JPG,2026-06-22 12:27:28,376,4,192,2,N
A392D8D0.JPG,2026-06-22 12:41:49,376,4,192,2,N
A3930EA0.JPG,2026-06-22 12:56:10,376,4,192,2,N
A3934480.JPG,2026-06-22 13:10:32,376,4,192,2,N
A3937A50.JPG,2026-06-22 13:24:53,376,4,192,2,N
A393B020.JPG,2026-06-22 13:39:14,376,4,192,2,N
A393E5F0.JPG,2026-06-22 13:53:35,376,4,192,2,N
A3941BC0.JPG,2026-06-22 14:07:56,376,4,192,2,N
A39451A0.JPG,2026-06-22 14:22:18,376,4,192,2,N
A3948770.JPG,2026-06-22 14:36:39,376,4,192,2,N
A394BD40.JPG,2026-06-22 14:51:00,376,4,192,2,N
A394F310.JPG,2026-06-22 15:05:21,376,4,192,2,N
A39528D0.JPG,2026-06-22 15:19:41,376,4,192,2,N
A3955EA0.JPG,2026-06-22 15:34:02,376,4,192,2,N
A3959480.JPG,2026-06-22 15:48:24,376,4,192,2,N
A395CA50.JPG,2026-06-22 16:02:45,376,4,192,2,N
A3960020.JPG,2026-06-22 16:17:06,376,4,192,9,N
A39635F0.JPG,2026-06-22 16:31:27,376,4,192,2,N
A3966BC0.JPG,2026-06-22 16:45:48,376,4,192,2,N
A396A190.JPG,2026-06-22 17:00:09,376,4,192,2,N
A396D760.JPG,2026-06-22 17:14:30,376,4,192,2,N
A3970D30.JPG,2026-06-22 17:28:51,376,4,192,2,N
A3974300.JPG,2026-06-22 17:43:12,376,4,192,2,N
A39778D0.JPG,2026-06-22 17:57:33,376,4,192,2,N
A397AEA0.JPG,2026-06-22 18:11:54,376,4,192,2,N
A397E470.JPG,2026-06-22 18:26:15,376,4,192,2,N
A3981A40.JPG,2026-06-22 18:40:36,376,4,192,3,N
A3985010.JPG,2026-06-22 18:54:57,376,4,192,13,N
A39885E0.JPG,2026-06-22 19:09:18,376,3,66,82,Y
A398BBB0.JPG,2026-06-22 19:23:39,376,1,67,76,Y
A398BBC0.JPG,2026-06-22 19:23:40,188,0,66,67,Y
A398F190.JPG,2026-06-22 19:38:01,118,0,64,84,Y
A3992760.JPG,2026-06-22 19:52:22,70,0,64,86,Y
A3995D30.JPG,2026-06-22 20:06:43,42,0,64,86,Y
A3999300.JPG,2026-06-22 20:21:04,33,0,64,85,Y
A399C8D0.JPG,2026-06-22 20:35:25,20,0,64,61,Y
A399FEA0.JPG,2026-06-22 20:49:46,16,0,64,60,Y
A39A3460.JPG,2026-06-22 21:04:06,16,0,64,85,Y
A39A6A40.JPG,2026-06-22 21:18:28,12,0,64,67,Y
A39AA010.JPG,2026-06-22 21:32:49,12,0,64,64,Y
A39AD5F0.JPG,2026-06-22 21:47:11,9,0,64,68,Y
A39B0BC0.JPG,2026-06-22 22:01:32,8,0,64,70,Y
A39B41A0.JPG,2026-06-22 22:15:54,7,0,64,64,Y
A39B7780.JPG,2026-06-22 22:30:16,7,0,64,72,Y
A39BAD60.JPG,2026-06-22 22:44:38,8,0,64,77,Y
A39BE340.JPG,2026-06-22 22:59:00,8,0,64,73,Y
A39C1920.JPG,2026-06-22 23:13:22,7,0,64,76,Y
A39C4F00.JPG,2026-06-22 23:27:44,7,0,64,85,Y
A39C84E0.JPG,2026-06-22 23:42:06,11,0,64,61,Y
A39CBAC0.JPG,2026-06-22 23:56:28,12,0,64,89,N
A39CF0B0.JPG,2026-06-23 00:10:51,11,0,64,66,Y
