# Deployment start, capture method 'activity'. Extracted from the merged three-way log
# (app logcat + nRF COM5 + Himax COM6), 30 Aug 2026. Column 2 is the source leg.
# Timestamps are mm:ss.mmm since capture start; app lines also carry wall clock.
#
[06:16.531] himax | Sending 96 bytes: Header 4, payload 90, checksum 2 'Sleep 2 0 0 1 3 2 500 0 1000 5 1 1000 100 0 0 0 18 1 2 1 0 2 50 65 15 0 1 286 326 1 110 1 '
[06:22.250] app   | Written AI getop 19 to the device WILD-CNKW (16:36:04-070)
[06:23.531] himax | MKL62BA command received: 'selftest'
[06:23.594] himax | MKL62BA command received: 'getop 19'
[06:23.906] app   | Written AI getop 19 to the device WILD-CNKW (16:36:05-718)
[06:23.984] himax | MKL62BA command received: 'getop 19'
[06:25.109] himax | Sending 96 bytes: Header 4, payload 90, checksum 2 'Sleep 2 0 0 1 4 2 500 0 1000 5 1 1000 100 0 0 0 18 1 2 1 0 2 50 65 15 0 1 286 326 1 110 1 '
[06:27.859] himax | MKL62BA command received: 'selftest'
[06:34.172] himax | Sending 96 bytes: Header 4, payload 90, checksum 2 'Sleep 4 0 0 1 5 2 500 0 1000 5 1 1000 100 0 0 0 18 1 2 3 0 2 50 65 15 0 1 286 326 1 110 1 '
[06:41.937] himax | MKL62BA command received: 'selftest'
[06:48.203] himax | Sending 96 bytes: Header 4, payload 90, checksum 2 'Sleep 6 0 0 1 6 2 500 0 1000 5 1 1000 100 0 0 0 18 1 2 5 0 2 50 65 15 0 1 286 326 1 110 1 '
[09:59.625] himax | MKL62BA command received: 'selftest'
[10:05.937] himax | Sending 96 bytes: Header 4, payload 90, checksum 2 'Sleep 8 0 0 1 7 2 500 0 1000 5 1 1000 100 0 0 0 18 1 2 7 0 2 50 65 15 0 1 286 326 1 110 1 '
[18:55.641] himax | MKL62BA command received: 'selftest'
[18:55.703] himax | MKL62BA command received: 'setutc 2026-08-30T04:48:36Z'
[19:03.750] himax | Sending 97 bytes: Header 4, payload 91, checksum 2 'Sleep 10 0 0 1 8 2 500 0 1000 5 1 1000 100 0 0 0 18 1 2 9 0 2 50 65 15 0 1 286 326 1 110 1 '
[33:32.469] himax | MKL62BA command received: 'selftest'
[33:32.547] himax | MKL62BA command received: 'setutc 2026-08-30T05:03:13Z'
[33:36.734] himax | Sending 97 bytes: Header 4, payload 91, checksum 2 'Sleep 11 0 0 1 9 2 500 0 1000 5 1 1000 100 0 0 0 18 1 2 9 0 2 50 65 15 0 1 286 326 1 110 1 '
